artist,track,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,energyLiveness
AC/DC,Rock N Roll Train,Black Ice,0.547,0.931,-2.356,0.0615,0.000998,0.0118,0.278,0.697,118.4,4.35845,3.348920863309353
Black Eyed Peas,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),0.744,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.966,4.818883333333333,1.5049115913555993
Black Eyed Peas,DON'T YOU WORRY,ELEVATION,0.831,0.868,-5.282,0.0325,0.176,0.0,0.184,0.483,131.971,3.2406333333333333,4.717391304347826
Black Eyed Peas,Where Is The Love?,Elephunk,0.834,0.699,-3.222,0.178,0.111,0.0,0.131,0.809,94.086,4.542216666666667,5.335877862595419
Black Eyed Peas,Just Can’t Get Enough,The Beginning,0.659,0.628,-8.685,0.179,0.186,0.0,0.105,0.262,94.05,3.6571166666666666,5.980952380952381
Black Eyed Peas,GIRL LIKE ME,TRANSLATION,0.965,0.485,-8.784,0.191,0.0206,0.0237,0.0655,0.312,124.025,3.708716666666666,7.404580152671755
Black Eyed Peas,Pump It,Monkey Business,0.649,0.931,-3.15,0.181,0.0093,0.0,0.751,0.744,153.645,3.5511166666666667,1.2396804260985357
Black Eyed Peas,Pump It Louder,Pump It Louder,0.66,0.942,-2.273,0.185,0.00789,1.76e-05,0.834,0.543,126.017,2.64285,1.129496402877698
Black Eyed Peas,Meet Me Halfway,THE E.N.D. (THE ENERGY NEVER DIES),0.798,0.629,-6.857,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,4.73955,1.941358024691358
Black Eyed Peas,RITMO (Bad Boys For Life),TRANSLATION,0.732,0.716,-6.968,0.0561,0.0295,0.000758,0.73,0.666,105.093,3.5809166666666665,0.9808219178082191
Black Eyed Peas,SIMPLY THE BEST,ELEVATION,0.872,0.789,-6.047,0.132,0.203,2.39e-05,0.125,0.646,126.042,3.9365,6.312
Michael Jackson,Billie Jean,Thriller,0.932,0.457,-9.62,0.0541,0.0173,0.0436,0.0414,0.884,117.002,4.903783333333333,11.03864734299517
Michael Jackson,Chicago,XSCAPE,0.608,0.756,-2.675,0.176,0.0784,0.0,0.187,0.55,176.086,4.091783333333334,4.042780748663102
Michael Jackson,Beat It,Thriller,0.776,0.711,-9.03,0.0473,0.0242,0.000353,0.234,0.901,138.728,4.306666666666667,3.0384615384615383
Michael Jackson,Smooth Criminal - 2012 Remaster,Bad (Remastered),0.853,0.981,-3.947,0.0751,0.247,0.468,0.306,0.595,118.193,4.296,3.2058823529411766
Michael Jackson,Rock with You - Single Version,Off the Wall,0.808,0.535,-12.521,0.0353,0.179,9.91e-05,0.158,0.848,114.031,3.6771166666666666,3.386075949367089
Michael Jackson,Don't Stop 'Til You Get Enough,Off the Wall,0.878,0.821,-9.875,0.089,0.126,0.0461,0.183,0.947,118.881,6.091116666666666,4.486338797814208
Michael Jackson,They Don't Care About Us,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",0.859,0.905,-5.539,0.129,0.205,0.00837,0.322,0.731,89.946,4.736,2.81055900621118
Michael Jackson,Remember the Time,Dangerous,0.831,0.921,-2.383,0.0582,0.153,0.00224,0.305,0.795,108.002,3.987116666666666,3.019672131147541
Michael Jackson,The Way You Make Me Feel - 2012 Remaster,Bad (Remastered),0.877,0.854,-4.523,0.147,0.0544,5.5e-05,0.144,0.54,114.472,4.968666666666667,5.930555555555556
Michael Jackson,Love Never Felt So Good,XSCAPE,0.775,0.719,-6.212,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,4.10045,10.861027190332326
P!nk,Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,0.778,0.547,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,4.04555,4.1439393939393945
P!nk,Never Gonna Not Dance Again,Never Gonna Not Dance Again,0.668,0.802,-4.005,0.0917,0.0273,0.0,0.163,0.769,113.796,3.76315,4.920245398773006
P!nk,Raise Your Glass,Raise Your Glass,0.7,0.709,-5.006,0.0838,0.0048,0.0,0.029,0.624,122.019,3.3826666666666667,24.448275862068964
P!nk,Try,The Truth About Love,0.674,0.628,-7.079,0.03,0.00144,0.0,0.0944,0.552,103.998,4.131783333333333,6.652542372881356
P!nk,So What,Funhouse (Expanded Edition),0.534,0.87,-3.078,0.0425,0.000334,0.0,0.241,0.462,126.019,3.586,3.6099585062240656
P!nk,What About Us,Beautiful Trauma,0.491,0.588,-6.177,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,4.493333333333333,6.490066225165562
P!nk,Cover Me In Sunshine,All I Know So Far: Setlist,0.473,0.592,-6.859,0.138,0.0528,0.0,0.131,0.292,159.7,2.30955,4.519083969465648
P!nk,TRUSTFALL,TRUSTFALL,0.636,0.888,-3.889,0.0945,0.00162,0.000216,0.147,0.25,122.032,3.953333333333333,6.040816326530613
P!nk,Who Knew,I'm Not Dead,0.688,0.734,-4.569,0.0274,0.00462,0.0,0.0756,0.46,140.004,3.474883333333333,9.708994708994709
P!nk,True Love (feat. Lily Allen),The Truth About Love,0.457,0.823,-4.76,0.311,0.00144,0.0,0.108,0.578,192.205,3.84555,7.62037037037037
Eminem,Mockingbird,Encore (Deluxe Version),0.637,0.678,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,4.179333333333333,4.346153846153847
Eminem,Without Me,The Eminem Show,0.908,0.669,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,4.838666666666667,2.8227848101265827
Eminem,The Real Slim Shady,The Marshall Mathers LP,0.949,0.661,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,4.736666666666666,14.559471365638766
Eminem,Superman,The Eminem Show,0.802,0.755,-3.138,0.0564,0.0215,0.0,0.295,0.58,130.027,5.838666666666667,2.5593220338983054
Eminem,Till I Collapse,The Eminem Show,0.548,0.847,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,4.963116666666667,10.379901960784313
Eminem,Stan,The Marshall Mathers LP,0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063,6.735116666666666,1.4826254826254823
Eminem,Love The Way You Lie,Recovery,0.749,0.925,-5.034,0.227,0.241,0.0,0.52,0.641,86.989,4.38955,1.778846153846154
Eminem,Godzilla (feat. Juice WRLD),Music To Be Murdered By,0.808,0.745,-5.26,0.342,0.145,0.0,0.292,0.829,165.995,3.513333333333333,2.551369863013699
Eminem,Sing For The Moment,The Eminem Show,0.668,0.824,-4.164,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,5.659116666666667,19.34272300469484
Eminem,Not Afraid,Recovery,0.855,0.954,-1.19,0.264,0.529,0.0,0.205,0.668,114.635,4.13555,4.6536585365853655
Pharrell Williams,"Happy - From ""Despicable Me 2""",G I R L,0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,3.8786666666666663,9.052863436123348
Pharrell Williams,Down In Atlanta,Down In Atlanta,0.851,0.819,-5.173,0.212,0.337,0.000153,0.0658,0.903,83.154,2.7340166666666668,12.446808510638297
Pharrell Williams,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,0.893,0.745,-3.105,0.0571,0.0642,0.0,0.0943,0.872,101.018,3.72355,7.900318133616119
Pharrell Williams,Cash In Cash Out,Cash In Cash Out,0.877,0.56,-3.751,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,3.6022666666666665,6.6746126340882
Pharrell Williams,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",Funk Wav Bounces Vol. 2,0.81,0.733,-6.338,0.0444,0.276,6.73e-06,0.288,0.9,125.975,3.821383333333333,2.545138888888889
Pharrell Williams,Hit Different,Hit Different,0.679,0.516,-6.371,0.0452,0.199,0.0,0.0965,0.716,120.074,3.3668,5.347150259067358
Pharrell Williams,Neon Guts (feat. Pharrell Williams),Luv Is Rage 2,0.859,0.563,-6.635,0.112,0.0541,0.0,0.0685,0.412,119.934,4.31315,8.21897810218978
Pharrell Williams,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),CALL ME IF YOU GET LOST,0.827,0.571,-7.949,0.366,0.0195,0.0,0.166,0.62,142.034,2.4403166666666665,3.439759036144578
Pharrell Williams,Just A Cloud Away,Just A Cloud Away,0.89,0.46,-8.155,0.0359,0.432,0.0,0.11,0.677,112.555,2.934633333333333,4.181818181818182
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,The Neptunes Present... Clones,0.894,0.404,-5.913,0.13,0.453,1.57e-06,0.0801,0.759,102.009,3.941783333333333,5.043695380774032
Khalid,lovely (with Khalid),lovely (with Khalid),0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,3.3364333333333334,3.1157894736842104
Khalid,Numb,Numb,0.912,0.774,-4.673,0.0455,0.121,0.0127,0.101,0.632,119.966,2.59315,7.663366336633663
Khalid,Silence,Silence,0.52,0.761,-3.093,0.0853,0.256,4.96e-06,0.17,0.286,141.971,3.013716666666667,4.476470588235294
Khalid,Young Dumb & Broke,American Teen,0.799,0.539,-6.351,0.0421,0.199,1.66e-05,0.165,0.394,136.948,3.375783333333333,3.2666666666666666
